310   2.1446731844620097e-7   2.3288660961688692e-8
311   2.1370930390709932e-7   2.29604418202834e-8
312   2.0902528268607736e-7   2.2620576952053272e-8
313   2.0771600712662764e-7   2.232626034626224e-8
314   2.06650096663452e-7   2.2044883787027865e-8
315   2.04455365117297e-7   2.1754421410010847e-8
316   2.034266454575896e-7   2.1481393522092102e-8
317   2.0170506677261723e-7   2.1218580181690643e-8
318   1.9904365849336757e-7   2.0965130871859673e-8
319   1.980414410489929e-7   2.0711801359132275e-8
320   1.966603929419359e-7   2.0454564127721117e-8
321   1.9552924314782362e-7   2.019539132955919e-8
322   1.937774890782133e-7   1.994285535785815e-8
323   1.9124323176970456e-7   1.9688811974920044e-8
324   1.8997430149462797e-7   1.9428510251631387e-8
325   1.8786143583550732e-7   1.9181711206945736e-8
326   1.8637627191519377e-7   1.893576803351079e-8
327   1.8548743326570985e-7   1.8687127864895838e-8
328   1.846554710604591e-7   1.8438519171605715e-8
329   1.8323361776219622e-7   1.81928878861651e-8
330   1.8269704838500882e-7   1.7947907932561308e-8
331   1.8170898921470918e-7   1.770522134402611e-8
332   1.797317734662189e-7   1.748679491476956e-8
333   1.779230143311537e-7   1.727022150513335e-8
334   1.7654877011726844e-7   1.7060738852418845e-8
335   1.7515111963395404e-7   1.6854349068601607e-8
336   1.734106686598256e-7   1.6669182049226048e-8
337   1.7263969217128982e-7   1.6501152989691023e-8
338   1.711022139157555e-7   1.6313743002302888e-8
339   1.6985947110766636e-7   1.6120181701755576e-8
340   1.6631249747538614e-7   1.591172219016332e-8
341   1.6578419891607942e-7   1.5714496416729738e-8
342   1.6316680892051963e-7   1.550426105085232e-8
343   1.6158804782537584e-7   1.531816914029046e-8
344   1.604295354957872e-7   1.5131429356652155e-8
345   1.590490662143468e-7   1.4946073795893952e-8
346   1.5795363796986743e-7   1.4758485621693551e-8
347   1.570907285815103e-7   1.4582140551367057e-8
348   1.569594464167265e-7   1.4406614630575905e-8
349   1.5570165606798842e-7   1.4238635371385802e-8
350   1.5341901290758492e-7   1.4056505000142714e-8
351   1.5190201650136037e-7   1.3892450458416209e-8
352   1.493973207444589e-7   1.372540387485408e-8
353   1.4823248821838283e-7   1.3568132256750582e-8
354   1.4709750883331954e-7   1.3415905685686633e-8
355   1.45897988496482e-7   1.3265449892935596e-8
356   1.4632154270979843e-7   1.3113473769769166e-8
357   1.4532624319549594e-7   1.296748702311899e-8
358   1.4315782311209654e-7   1.2799113728356502e-8
359   1.4193862431126608e-7   1.264434488768933e-8
360   1.4119556906840428e-7   1.2503548778225886e-8
361   1.403197725025448e-7   1.2362621998144508e-8
362   1.3926885583669293e-7   1.2217712676511507e-8
363   1.3897695457003566e-7   1.207916765839085e-8
364   1.3860702694978745e-7   1.1947133129036348e-8
365   1.372651463843267e-7   1.1813687059421597e-8
366   1.3624658552367374e-7   1.1675095411457746e-8
367   1.3469328719428896e-7   1.1538955101620475e-8
368   1.3195048586206654e-7   1.1389913818184704e-8
369   1.3089079699634588e-7   1.125594228377484e-8
370   1.295603564890695e-7   1.112799737293125e-8
371   1.2847024469994093e-7   1.0985167848049677e-8
372   1.2767631533197388e-7   1.0858941379791113e-8
373   1.2680913630209194e-7   1.0738153780036849e-8
374   1.255973479610708e-7   1.0617706005007907e-8
375   1.2460542479305455e-7   1.0501710824682867e-8
376   1.248987903757441e-7   1.0394832939375074e-8
377   1.2600104762372812e-7   1.0274335658976864e-8
378   1.2503290141502094e-7   1.0167912577280653e-8
379   1.239406723832755e-7   1.0061609346014314e-8
380   1.2270368195784917e-7   9.944737382377165e-9
