310.	28.32198016116041	0.025863543621349086
311.	27.983593244379406	0.025628201482328163
312.	27.650035363884488	0.025388665853820217
313.	27.32130673475687	0.02515147985814598
314.	26.997298971328327	0.024913698005814475
315.	26.677861873624007	0.02467833217396089
316.	26.363409190777176	0.024446573434090967
317.	26.0533494616521	0.02421685605916415
318.	25.747725621865552	0.0239924956416826
319.	25.44646697386695	0.02377248920840532
320.	25.14947851863478	0.02355621570202338
321.	24.85678239529652	0.02334004482012949
322.	14.984074074277471	1.0666666666666666*^7*Sqrt[2.46170416216106*^-19 + 2*0.04232958903880327[[2]]^2]
323.	1.0666666666666666*^7*$Failed	1.0666666666666666*^7*Sqrt[1 + 2*0.04232958903880327[[2]]^2]
324.	1.0666666666666666*^7*$Failed	1.0666666666666666*^7*Sqrt[1 + 2*0.04232958903880327[[2]]^2]
325.	1.0666666666666666*^7*$Failed	1.0666666666666666*^7*Sqrt[1 + 2*0.04232958903880327[[2]]^2]
326.	1.0666666666666666*^7*$Failed	1.0666666666666666*^7*Sqrt[1 + 2*0.04232958903880327[[2]]^2]
327.	1.0666666666666666*^7*$Failed	1.0666666666666666*^7*Sqrt[1 + 2*0.04232958903880327[[2]]^2]
328.	1.0666666666666666*^7*$Failed	1.0666666666666666*^7*Sqrt[1 + 2*0.04232958903880327[[2]]^2]
329.	1.0666666666666666*^7*$Failed	1.0666666666666666*^7*Sqrt[1 + 2*0.04232958903880327[[2]]^2]
330.	1.0666666666666666*^7*$Failed	1.0666666666666666*^7*Sqrt[1 + 2*0.04232958903880327[[2]]^2]
331.	1.0666666666666666*^7*$Failed	1.0666666666666666*^7*Sqrt[1 + 2*0.04232958903880327[[2]]^2]
332.	1.0666666666666666*^7*$Failed	1.0666666666666666*^7*Sqrt[1 + 2*0.04232958903880327[[2]]^2]
333.	1.0666666666666666*^7*$Failed	1.0666666666666666*^7*Sqrt[1 + 2*0.04232958903880327[[2]]^2]
