310.	31.742718646149562	0.0090829002646939
311.	31.37723917769634	0.00898078849998894
312.	31.017033277054846	0.008876836719938013
313.	30.661942938612015	0.00877133982688658
314.	30.311996214798487	0.008671758020213175
315.	29.967034153473055	0.00857477251013494
316.	29.62695007224598	0.008477060826864792
317.	29.291735366197766	0.008378222684968555
318.	28.961275631247506	0.008280954348558233
319.	28.635446002117963	0.008188400785523577
320.	28.314152484169124	0.008095724227002258
321.	27.997419988314263	0.008007780880176254
322.	20.20296047654157	1.0666666666666666*^7*Sqrt[4.502661268140785*^-19 + 2*0.03127068746868166[[2]]^2]
323.	1.0666666666666666*^7*$Failed	1.0666666666666666*^7*Sqrt[1 + 2*0.03127068746868166[[2]]^2]
324.	1.0666666666666666*^7*$Failed	1.0666666666666666*^7*Sqrt[1 + 2*0.03127068746868166[[2]]^2]
325.	1.0666666666666666*^7*$Failed	1.0666666666666666*^7*Sqrt[1 + 2*0.03127068746868166[[2]]^2]
326.	1.0666666666666666*^7*$Failed	1.0666666666666666*^7*Sqrt[1 + 2*0.03127068746868166[[2]]^2]
327.	1.0666666666666666*^7*$Failed	1.0666666666666666*^7*Sqrt[1 + 2*0.03127068746868166[[2]]^2]
328.	1.0666666666666666*^7*$Failed	1.0666666666666666*^7*Sqrt[1 + 2*0.03127068746868166[[2]]^2]
329.	1.0666666666666666*^7*$Failed	1.0666666666666666*^7*Sqrt[1 + 2*0.03127068746868166[[2]]^2]
330.	1.0666666666666666*^7*$Failed	1.0666666666666666*^7*Sqrt[1 + 2*0.03127068746868166[[2]]^2]
331.	1.0666666666666666*^7*$Failed	1.0666666666666666*^7*Sqrt[1 + 2*0.03127068746868166[[2]]^2]
332.	1.0666666666666666*^7*$Failed	1.0666666666666666*^7*Sqrt[1 + 2*0.03127068746868166[[2]]^2]
333.	1.0666666666666666*^7*$Failed	1.0666666666666666*^7*Sqrt[1 + 2*0.03127068746868166[[2]]^2]
334.	1.0666666666666666*^7*$Failed	1.0666666666666666*^7*Sqrt[1 + 2*0.03127068746868166[[2]]^2]
335.	1.0666666666666666*^7*$Failed	1.0666666666666666*^7*Sqrt[1 + 2*0.03127068746868166[[2]]^2]
336.	1.0666666666666666*^7*$Failed	1.0666666666666666*^7*Sqrt[1 + 2*0.03127068746868166[[2]]^2]
337.	1.0666666666666666*^7*$Failed	1.0666666666666666*^7*Sqrt[1 + 2*0.03127068746868166[[2]]^2]
