310.	30.332759282191788	0.008956031177610594
311.	29.982431205112025	0.008853474080195633
312.	29.637143515628466	0.00875377431897458
313.	29.296770636393955	0.00864536735147837
314.	28.961332942250277	0.008548407395742356
315.	28.63076062013494	0.008462782438437899
316.	28.304834993173863	0.00836636498444239
317.	27.98351864690693	0.00827071914376952
318.	27.666848397769826	0.008171706123466058
319.	27.354601141139696	0.008081269200206055
320.	27.04677886822703	0.007990909165851098
321.	26.743278432922214	0.00790449070506675
322.	26.443982869879495	0.00780725350989706
323.	19.3547367945453	1.0666666666666666*^7*Sqrt[4.1524874734550068*^-19 + 2*0.028784756840501042[[2]]^2]
324.	1.0666666666666666*^7*$Failed	1.0666666666666666*^7*Sqrt[1 + 2*0.028784756840501042[[2]]^2]
325.	1.0666666666666666*^7*$Failed	1.0666666666666666*^7*Sqrt[1 + 2*0.028784756840501042[[2]]^2]
326.	1.0666666666666666*^7*$Failed	1.0666666666666666*^7*Sqrt[1 + 2*0.028784756840501042[[2]]^2]
327.	1.0666666666666666*^7*$Failed	1.0666666666666666*^7*Sqrt[1 + 2*0.028784756840501042[[2]]^2]
328.	1.0666666666666666*^7*$Failed	1.0666666666666666*^7*Sqrt[1 + 2*0.028784756840501042[[2]]^2]
329.	1.0666666666666666*^7*$Failed	1.0666666666666666*^7*Sqrt[1 + 2*0.028784756840501042[[2]]^2]
330.	1.0666666666666666*^7*$Failed	1.0666666666666666*^7*Sqrt[1 + 2*0.028784756840501042[[2]]^2]
331.	1.0666666666666666*^7*$Failed	1.0666666666666666*^7*Sqrt[1 + 2*0.028784756840501042[[2]]^2]
332.	1.0666666666666666*^7*$Failed	1.0666666666666666*^7*Sqrt[1 + 2*0.028784756840501042[[2]]^2]
333.	1.0666666666666666*^7*$Failed	1.0666666666666666*^7*Sqrt[1 + 2*0.028784756840501042[[2]]^2]
334.	1.0666666666666666*^7*$Failed	1.0666666666666666*^7*Sqrt[1 + 2*0.028784756840501042[[2]]^2]
335.	1.0666666666666666*^7*$Failed	1.0666666666666666*^7*Sqrt[1 + 2*0.028784756840501042[[2]]^2]
336.	1.0666666666666666*^7*$Failed	1.0666666666666666*^7*Sqrt[1 + 2*0.028784756840501042[[2]]^2]
337.	1.0666666666666666*^7*$Failed	1.0666666666666666*^7*Sqrt[1 + 2*0.028784756840501042[[2]]^2]
338.	1.0666666666666666*^7*$Failed	1.0666666666666666*^7*Sqrt[1 + 2*0.028784756840501042[[2]]^2]
339.	1.0666666666666666*^7*$Failed	1.0666666666666666*^7*Sqrt[1 + 2*0.028784756840501042[[2]]^2]
340.	1.0666666666666666*^7*$Failed	1.0666666666666666*^7*Sqrt[1 + 2*0.028784756840501042[[2]]^2]
341.	1.0666666666666666*^7*$Failed	1.0666666666666666*^7*Sqrt[1 + 2*0.028784756840501042[[2]]^2]
342.	1.0666666666666666*^7*$Failed	1.0666666666666666*^7*Sqrt[1 + 2*0.028784756840501042[[2]]^2]
343.	1.0666666666666666*^7*$Failed	1.0666666666666666*^7*Sqrt[1 + 2*0.028784756840501042[[2]]^2]
344.	1.0666666666666666*^7*$Failed	1.0666666666666666*^7*Sqrt[1 + 2*0.028784756840501042[[2]]^2]
