310.	5.288816303940596e-7	4.377575919999215e-10
310.25	5.295043471943774e-7	4.383206381432972e-10
310.5	5.301561293638583e-7	4.3889713302323155e-10
310.75	5.308377288275479e-7	4.3950518673974386e-10
311.	5.315512025397848e-7	4.401504480324234e-10
311.25	5.322933272593388e-7	4.412128851422539e-10
311.5	5.330678303855304e-7	4.419033587989443e-10
311.75	5.338749974326145e-7	4.4249369173378265e-10
312.	5.347145613719223e-7	4.433008660814961e-10
312.25	5.355878784222719e-7	4.44075155204628e-10
312.5	5.364955326070009e-7	4.4483438178557944e-10
312.75	5.374379242853084e-7	4.4568108274975547e-10
313.	5.384167699354967e-7	4.4663127918867453e-10
313.25	5.394323135444592e-7	4.4752090588137575e-10
313.5	5.404849143102064e-7	4.484401633096587e-10
313.75	5.415784023211278e-7	4.4948283647186734e-10
314.	5.427093474693744e-7	4.504747654054655e-10
314.25	5.438808230267549e-7	4.515508881348901e-10
314.5	5.450937142843443e-7	4.526264930921157e-10
314.75	5.463486024590199e-7	4.5371696571373e-10
315.	5.476462555928771e-7	4.548020184980936e-10
315.25	5.48988899657265e-7	4.559597865304143e-10
315.5	5.503772693281151e-7	4.5716712047888223e-10
315.75	5.518122048290739e-7	4.5841588112309807e-10
316.	5.532954282342068e-7	4.596642290460437e-10
316.25	5.548277347288744e-7	4.6099148462935306e-10
316.5	5.564106882129271e-7	4.623611182367897e-10
316.75	5.580432696669383e-7	4.636202393607809e-10
317.	5.597327249481109e-7	4.64990052460083e-10
317.25	5.614760028086609e-7	4.664844104530373e-10
317.5	5.632757511195438e-7	4.680419166058645e-10
317.75	5.651338421640056e-7	4.696433745738934e-10
318.	5.670527873147442e-7	4.711817262952534e-10
318.25	5.690333146062375e-7	4.726969773069864e-10
318.5	5.710752947743685e-7	4.73993851231223e-10
318.75	5.731826729685794e-7	4.758231346046791e-10
319.	5.753583179298251e-7	4.776763429128792e-10
319.25	5.776033706673578e-7	4.795891201958106e-10
319.5	5.799187811934042e-7	4.815085730861614e-10
319.75	5.823093932664719e-7	4.835439235833277e-10
320.	5.847768240437359e-7	4.856408177355121e-10
320.25	5.873230135347355e-7	4.878116875376711e-10
320.5	5.899509063121372e-7	4.900409371158797e-10
320.75	5.926626114023426e-7	4.923867726089538e-10
321.	5.954624871748632e-7	4.9475745497193e-10
321.25	5.983529816831096e-7	4.972380150290575e-10
321.5	6.013368225905977e-7	4.997686096896254e-10
321.75	6.044169838060609e-7	5.024514459551064e-10
322.	6.075998598123083e-7	5.051104950506514e-10
322.25	6.108857631464266e-7	5.079027485429677e-10
322.5	6.142798476826048e-7	5.107873848884493e-10
322.75	6.17786242810944e-7	5.137522579930801e-10
323.	6.214098265388882e-7	5.167870902874548e-10
323.25	6.251542797921853e-7	5.199670956570637e-10
323.5	6.290335313843313e-7	5.233431843338712e-10
323.75	6.330355739288333e-7	5.267298668776711e-10
324.	6.371746064944355e-7	5.302368188130331e-10
324.25	6.414554318419159e-7	5.339147717576485e-10
324.5	6.458853667744602e-7	5.376512733889617e-10
324.75	6.50470325783113e-7	5.415277765814955e-10
325.	6.55214701429786e-7	5.45441403810436e-10
325.25	6.601282795287699e-7	5.496372714819533e-10
325.5	6.652217451832568e-7	5.538393958038326e-10
325.75	6.705026387862643e-7	5.57537232424412e-10
326.	6.759736576760872e-7	5.621258712929267e-10
326.25	6.816481852501601e-7	5.66896587056814e-10
326.5	6.875344211874946e-7	5.719031005789995e-10
326.75	6.9364466015189e-7	5.770519627343033e-10
327.	6.999973903049146e-7	5.824121636608259e-10
327.25	7.06588685086457e-7	5.879443100545327e-10
327.5	7.134396640639259e-7	5.937160545570265e-10
327.75	7.205650882458224e-7	5.997306252018378e-10
328.	7.279775456747018e-7	6.059933106044397e-10
328.25	7.356934144134101e-7	6.124753440089036e-10
328.5	7.437309532148216e-7	6.191650488391117e-10
328.75	7.521080776237543e-7	6.262026929724187e-10
329.	7.608446132669291e-7	6.335424491416412e-10
329.25	7.699614394169945e-7	6.410986184654824e-10
329.5	7.794841292644934e-7	6.491725562524396e-10
329.75	7.894343857709031e-7	6.575260899373107e-10
330.	7.998461125250843e-7	6.664363874735821e-10
330.25	8.107398764804451e-7	6.755807067250864e-10
330.5	8.221494042955494e-7	6.852972244181193e-10
330.75	8.341171214648775e-7	6.954563571119678e-10
331.	8.466751641462523e-7	7.060065088132053e-10
331.25	8.598669678018831e-7	7.170870348887378e-10
331.5	8.737378162859759e-7	7.285423053054507e-10
331.75	8.883453732858418e-7	7.409343663435949e-10
332.	9.03733056962275e-7	7.537111924933762e-10
332.25	9.199722524915374e-7	7.673057591754728e-10
332.5	9.371270757958215e-7	7.81694246149219e-10
332.75	9.552764732692098e-7	7.970619460706428e-10
333.	9.744994923330112e-7	8.13183979358562e-10
333.25	9.949003717705312e-7	8.304435475952118e-10
333.5	1.0165670911836906e-6	8.486027755798727e-10
333.75	1.0396235616419614e-6	8.679537716088605e-10
334.	1.0642023997758452e-6	8.885826587436915e-10
334.25	1.0904442837939595e-6	9.103897575420921e-10
334.5	1.118525479774343e-6	9.334170722743009e-10
334.75	1.1486416920038906e-6	9.586686948338904e-10
335.	1.1810036739422076e-6	9.857800287442755e-10
335.25	1.2158600925186859e-6	1.014718031451664e-9
335.5	1.2534945907027318e-6	1.0462140451846064e-9
335.75	1.2942374860283337e-6	1.0803481929786812e-9
336.	1.3384699823953723e-6	1.1174015880891736e-9
336.25	1.3866297575889067e-6	1.1572634043366131e-9
336.5	1.4392468239225907e-6	1.2013052142801375e-9
