310   2.648538819693641e-6   2.305764334956154e-8
311   2.6493230165405483e-6   2.2769172594887043e-8
312   2.6468497820955917e-6   2.2537139207805203e-8
313   2.6422056612500157e-6   2.230670616199985e-8
314   2.636206794865027e-6   2.2038991435325268e-8
315   2.6339381939801732e-6   2.1811741521975005e-8
316   2.6293301844771326e-6   2.1777139615378133e-8
317   2.6237556356931244e-6   2.1540684832340694e-8
318   2.618997800145939e-6   2.1323003824267758e-8
319   2.6127389531307198e-6   2.1130013568682458e-8
320   2.609818810856203e-6   2.0928412829374126e-8
321   2.602710875730967e-6   2.0749199572649895e-8
322   2.5923917162142154e-6   2.048738607391204e-8
323   2.585655478800149e-6   2.0272287537996672e-8
324   2.5795334683137722e-6   2.0078894023958995e-8
325   2.570906280421869e-6   1.9874649827897194e-8
326   2.563324441956645e-6   1.970940381109248e-8
327   2.5571988036427585e-6   1.9503422615924774e-8
328   2.551419675788392e-6   1.919918987946224e-8
329   2.5446028647906866e-6   1.899963021688338e-8
330   2.5379216284102765e-6   1.8824596431587852e-8
331   2.5296917731414306e-6   1.8615127927256955e-8
332   2.522400510015636e-6   1.844361375550517e-8
333   2.515042383305139e-6   1.826828891690022e-8
334   2.5078341044469107e-6   1.80754556280777e-8
335   2.499818238169266e-6   1.7908799432305533e-8
336   2.49190245425822e-6   1.771949527645655e-8
337   2.484276315750508e-6   1.753986908980076e-8
338   2.475382933528878e-6   1.7368662358757856e-8
339   2.466463876090887e-6   1.7234252955125943e-8
340   2.4615504990128304e-6   1.704464008943028e-8
341   2.4527341904969216e-6   1.6897921413843223e-8
342   2.4433450752674728e-6   1.673657332133695e-8
343   2.4342553786666656e-6   1.6575581865339276e-8
344   2.42526613643219e-6   1.64134907609104e-8
345   2.4163387671909777e-6   1.6241105307795147e-8
346   2.4029414009816787e-6   1.6045177552215327e-8
347   2.3935655257233607e-6   1.5892000567835215e-8
348   2.3842724317077865e-6   1.5818058944640595e-8
349   2.373540359117324e-6   1.5673262948059326e-8
350   2.3629480408909957e-6   1.553787931810853e-8
351   2.352979140739293e-6   1.5405426682309045e-8
352   2.341724251629255e-6   1.530364957252918e-8
353   2.3311191379202304e-6   1.5160973810213868e-8
354   2.3210945026334246e-6   1.499276448889034e-8
355   2.3108486312634115e-6   1.4856311322183263e-8
356   2.3002539604258095e-6   1.469600144503605e-8
357   2.2900231326462647e-6   1.4563063260535075e-8
358   2.2791937501364283e-6   1.445538043269381e-8
359   2.267653013779703e-6   1.4313684838797385e-8
360   2.257812039734857e-6   1.416349511567273e-8
361   2.247826011263023e-6   1.402402185976222e-8
362   2.239735614612365e-6   1.3860984993298822e-8
363   2.2295394801020015e-6   1.3758066427875687e-8
364   2.22040005145233e-6   1.3613647348036165e-8
365   2.2091355639887976e-6   1.345134090997647e-8
366   2.199266799881835e-6   1.3277767746160889e-8
367   2.188715280227616e-6   1.3152506604187678e-8
368   2.1782932976600124e-6   1.3030092665927699e-8
369   2.168680124095411e-6   1.2923015217890002e-8
370   2.159001910982622e-6   1.2821012020165012e-8
371   2.148472536690039e-6   1.2722530456462407e-8
372   2.13736459782126e-6   1.2626391364598447e-8
373   2.1276869269795027e-6   1.253038396176325e-8
374   2.1179156340347117e-6   1.2391339176717545e-8
375   2.10644813645055e-6   1.228068323138621e-8
376   2.0956880441709405e-6   1.2125614334510448e-8
377   2.0844914882999417e-6   1.2030715406638231e-8
378   2.0740335391267553e-6   1.192168806731531e-8
379   2.0659920180134626e-6   1.1877185336540137e-8
380   2.0552906195022825e-6   1.1772786719291705e-8
